k,PSD
0.000000000000000000e+00,2.742193221598232299e-34
4.908738521234051744e-02,1.428374611783949505e-02
9.817477042468103487e-02,1.803889414249601822e-02
1.472621556370215523e-01,3.425255209572009713e-02
1.963495408493620697e-01,3.292661422513566694e-02
2.454369260617025872e-01,7.088714499740673622e-03
2.945243112740431046e-01,2.007862915356408567e-02
3.436116964863836221e-01,4.819101281836525585e-02
3.926990816987241395e-01,1.156773378634908846e-02
4.417864669110646569e-01,1.252653143775686768e-02
4.908738521234051744e-01,5.726199834504021834e-04
5.399612373357456363e-01,8.205709797685271185e-04
5.890486225480862092e-01,1.609704156892029312e-03
6.381360077604267822e-01,6.522774833676763320e-04
6.872233929727672441e-01,5.242110834750664987e-04
7.363107781851077061e-01,1.083232838588870164e-03
7.853981633974482790e-01,1.008464268921414365e-03
8.344855486097888519e-01,5.838596334569063766e-05
8.835729338221293139e-01,6.715170863678337576e-05
9.326603190344697758e-01,1.423095821447023393e-04
9.817477042468103487e-01,7.497914541402440512e-04
1.030835089459150922e+00,1.143523799509991870e-03
1.079922474671491273e+00,7.131678962855823303e-04
1.129009859883831846e+00,1.348108087572973384e-03
1.178097245096172418e+00,7.358275343029948743e-05
1.227184630308512991e+00,2.366160571202279397e-04
1.276272015520853564e+00,3.275119547479529811e-05
1.325359400733193915e+00,1.266181060068495383e-04
1.374446785945534488e+00,4.813153734351382899e-04
1.423534171157875061e+00,1.200634906043342902e-04
1.472621556370215412e+00,3.276417470781255479e-05
1.521708941582555985e+00,1.057956781820823949e-06
1.570796326794896558e+00,2.177409199027249282e-07
1.619883712007237131e+00,8.313096049015216187e-35
1.668971097219577704e+00,6.018531076210113110e-35
1.718058482431918055e+00,2.407412430484045244e-34
1.767145867644258628e+00,1.203706215242022622e-34
1.816233252856599201e+00,1.203706215242022675e-35
1.865320638068939552e+00,1.564818079814629558e-34
1.914408023281280125e+00,6.018531076210112041e-34
1.963495408493620697e+00,9.780112998841429928e-35
2.012582793705961048e+00,3.009265538105056448e-34
2.061670178918301843e+00,4.890056499420716033e-34
2.110757564130642194e+00,7.824090399073146722e-35
2.159844949342982545e+00,4.228018081037604564e-34
2.208932334555323340e+00,1.594910735195679905e-34
2.258019719767663691e+00,3.197344634236622022e-35
2.307107104980004486e+00,1.222514124855179008e-34
2.356194490192344837e+00,9.780112998841429928e-35
2.405281875404685188e+00,6.018531076210112041e-36
2.454369260617025983e+00,1.809320904785664291e-34
2.503456645829366334e+00,9.629649721936179265e-35
2.552544031041707129e+00,3.761581922631320025e-35
2.601631416254047480e+00,2.362273447412468976e-34
2.650718801466387831e+00,5.292759741848316251e-34
2.699806186678728626e+00,9.629649721936179265e-35
2.748893571891068976e+00,0.000000000000000000e+00
2.797980957103409327e+00,3.851859888774471706e-34
2.847068342315750122e+00,2.407412430484044816e-35
2.896155727528090473e+00,2.407412430484044816e-35
2.945243112740430824e+00,9.629649721936180976e-34
2.994330497952771619e+00,3.851859888774471706e-34
3.043417883165111970e+00,2.407412430484044816e-35
3.092505268377452765e+00,3.505794351892390691e-34
