k,PSD
0.000000000000000000e+00,1.504632769052528010e-34
4.908738521234051744e-02,6.941445265156898081e-02
9.817477042468103487e-02,2.557151168069007538e-02
1.472621556370215523e-01,2.275994935237157443e-02
1.963495408493620697e-01,1.174845436104022534e-01
2.454369260617025872e-01,9.680650379073411915e-02
2.945243112740431046e-01,8.723234444806675933e-04
3.436116964863836221e-01,3.887992194033671779e-03
3.926990816987241395e-01,7.558019979253194180e-03
4.417864669110646569e-01,7.286539099906003472e-03
4.908738521234051744e-01,6.671342453805430110e-03
5.399612373357456363e-01,3.469561538821977400e-03
5.890486225480862092e-01,9.953570620477532327e-03
6.381360077604267822e-01,9.357287244058341835e-05
6.872233929727672441e-01,4.214558242627689834e-04
7.363107781851077061e-01,2.908413881384864147e-05
7.853981633974482790e-01,5.898843845415817182e-03
8.344855486097888519e-01,2.900630330260097403e-05
8.835729338221293139e-01,1.027529916455640008e-03
9.326603190344697758e-01,2.820106200944780088e-03
9.817477042468103487e-01,3.778636935006456196e-04
1.030835089459150922e+00,7.048180258634597706e-04
1.079922474671491273e+00,1.968043808048794050e-04
1.129009859883831846e+00,3.715719234884345512e-04
1.178097245096172418e+00,6.550132945347196100e-04
1.227184630308512991e+00,6.783391401880651747e-04
1.276272015520853564e+00,2.576348426713968745e-04
1.325359400733193915e+00,3.100034716289072536e-04
1.374446785945534488e+00,3.097071530773599728e-04
1.423534171157875061e+00,5.665036919661846896e-05
1.472621556370215412e+00,9.522663732108048505e-05
1.521708941582555985e+00,7.331910416850972220e-06
1.570796326794896558e+00,2.177409199027238694e-07
1.619883712007237131e+00,4.092601131822876188e-34
1.668971097219577704e+00,7.824090399073145653e-34
1.718058482431918055e+00,6.770847460736377382e-36
1.767145867644258628e+00,4.814824860968090488e-34
1.816233252856599201e+00,4.890056499420716033e-34
1.865320638068939552e+00,1.504632769052528010e-34
1.914408023281280125e+00,5.841736725846440855e-34
1.963495408493620697e+00,1.278937853694648809e-34
2.012582793705961048e+00,7.974553675978399523e-35
2.061670178918301843e+00,1.956022599768286681e-35
2.110757564130642194e+00,1.203706215242022622e-34
2.159844949342982545e+00,1.504632769052528010e-34
2.208932334555323340e+00,2.407412430484045244e-34
2.258019719767663691e+00,1.640049718267255745e-34
2.307107104980004486e+00,4.748997177322040998e-35
2.356194490192344837e+00,7.717120413148317490e-34
2.405281875404685188e+00,5.821194962065821595e-35
2.454369260617025983e+00,1.098381921408345234e-34
2.503456645829366334e+00,2.788272600150465969e-34
2.552544031041707129e+00,9.629649721936179265e-35
2.601631416254047480e+00,1.402317740756956277e-33
2.650718801466387831e+00,2.742193221598232299e-34
2.699806186678728626e+00,2.407412430484044816e-35
2.748893571891068976e+00,1.504632769052528010e-34
2.797980957103409327e+00,1.203706215242022622e-34
2.847068342315750122e+00,1.760420339791457986e-34
2.896155727528090473e+00,5.995608936369077434e-35
2.945243112740430824e+00,1.540743955509788682e-33
2.994330497952771619e+00,3.129636159629258689e-34
3.043417883165111970e+00,4.814824860968090488e-34
3.092505268377452765e+00,7.703719777548945123e-34
