k,PSD
0.000000000000000000e+00,0.000000000000000000e+00
4.908738521234051744e-02,4.778809781890691610e-02
9.817477042468103487e-02,6.392359013979727334e-03
1.472621556370215523e-01,2.533785125025760435e-02
1.963495408493620697e-01,4.453177800981288070e-02
2.454369260617025872e-01,4.637425363360311165e-02
2.945243112740431046e-01,1.458010897090652666e-02
3.436116964863836221e-01,1.004078571920138030e-03
3.926990816987241395e-01,1.377958538810886494e-02
4.417864669110646569e-01,6.277424668606854975e-03
4.908738521234051744e-01,2.877453565542225766e-03
5.399612373357456363e-01,2.293038798777280332e-04
5.890486225480862092e-01,6.019612994774335528e-03
6.381360077604267822e-01,5.353464365382315819e-04
6.872233929727672441e-01,6.316532537617702012e-04
7.363107781851077061e-01,2.221412776044037491e-03
7.853981633974482790e-01,5.857521769290436123e-03
8.344855486097888519e-01,8.245072399710401487e-04
8.835729338221293139e-01,2.626375015824741562e-05
9.326603190344697758e-01,9.450424621342341693e-05
9.817477042468103487e-01,6.722277931708701970e-04
1.030835089459150922e+00,1.799687624742360393e-03
1.079922474671491273e+00,5.717500993621557571e-04
1.129009859883831846e+00,5.166824803987508062e-04
1.178097245096172418e+00,1.636364524972509001e-03
1.227184630308512991e+00,8.023080219796835388e-05
1.276272015520853564e+00,2.814192708103988830e-04
1.325359400733193915e+00,2.291860846071597224e-04
1.374446785945534488e+00,3.584246196535771162e-05
1.423534171157875061e+00,8.214591143284786200e-05
1.472621556370215412e+00,2.295246711501981409e-05
1.521708941582555985e+00,3.312261145976422748e-06
1.570796326794896558e+00,2.177409199027096816e-07
1.619883712007237131e+00,2.407412430484045244e-34
1.668971097219577704e+00,6.958926556867942047e-36
1.718058482431918055e+00,3.761581922631320025e-34
1.767145867644258628e+00,3.009265538105056448e-34
1.816233252856599201e+00,3.009265538105056555e-35
1.865320638068939552e+00,1.023150282955719047e-34
1.914408023281280125e+00,2.802378532360333847e-34
1.963495408493620697e+00,4.393527685633380934e-34
2.012582793705961048e+00,4.363435030252330695e-35
2.061670178918301843e+00,1.956022599768286681e-35
2.110757564130642194e+00,3.912045199536571971e-34
2.159844949342982545e+00,6.018531076210112041e-36
2.208932334555323340e+00,2.181717515126165615e-34
2.258019719767663691e+00,1.090858757563082674e-35
2.307107104980004486e+00,5.115751414778595235e-34
2.356194490192344837e+00,3.009265538105056555e-35
2.405281875404685188e+00,1.504632769052528010e-34
2.454369260617025983e+00,3.009265538105056555e-35
2.503456645829366334e+00,7.328501980766469240e-34
2.552544031041707129e+00,4.092601131822876188e-34
2.601631416254047480e+00,2.409763419185689391e-35
2.650718801466387831e+00,1.339123164456749715e-34
2.699806186678728626e+00,8.185202263645750665e-34
2.748893571891068976e+00,5.721366104322237759e-34
2.797980957103409327e+00,1.177375141783602954e-34
2.847068342315750122e+00,9.870390964984583747e-34
2.896155727528090473e+00,4.092601131822876188e-34
2.945243112740430824e+00,0.000000000000000000e+00
2.994330497952771619e+00,5.070612431707019394e-34
3.043417883165111970e+00,7.824090399073146722e-35
3.092505268377452765e+00,9.629649721936180976e-34
