k,PSD
0.000000000000000000e+00,3.851859888774471706e-34
4.908738521234051744e-02,7.469647925712685592e-03
9.817477042468103487e-02,3.075172224998415881e-03
1.472621556370215523e-01,5.581201797459105218e-02
1.963495408493620697e-01,4.468197290832066210e-02
2.454369260617025872e-01,3.790450693451429681e-02
2.945243112740431046e-01,2.188949766734615832e-02
3.436116964863836221e-01,2.721097172387994256e-02
3.926990816987241395e-01,4.623917339824758915e-02
4.417864669110646569e-01,1.954781481636563498e-02
4.908738521234051744e-01,4.946946039253758906e-03
5.399612373357456363e-01,6.891352850413242324e-03
5.890486225480862092e-01,2.343099343257356963e-03
6.381360077604267822e-01,2.854607032733329393e-03
6.872233929727672441e-01,1.672815944862981932e-03
7.363107781851077061e-01,8.091883848083896531e-04
7.853981633974482790e-01,3.658501232029952744e-03
8.344855486097888519e-01,1.949460243609015203e-03
8.835729338221293139e-01,1.279105586368976051e-04
9.326603190344697758e-01,1.291431474062350792e-03
9.817477042468103487e-01,3.348533386260450599e-03
1.030835089459150922e+00,4.164381523637134832e-04
1.079922474671491273e+00,1.489705945721871714e-04
1.129009859883831846e+00,1.017636719694641270e-03
1.178097245096172418e+00,8.516519170788083284e-04
1.227184630308512991e+00,8.171176460894276079e-05
1.276272015520853564e+00,8.863340430792340699e-05
1.325359400733193915e+00,1.183767299575534882e-04
1.374446785945534488e+00,3.062144588156114864e-05
1.423534171157875061e+00,1.517200907148516368e-04
1.472621556370215412e+00,1.030823383325661869e-04
1.521708941582555985e+00,3.917206397948282787e-05
1.570796326794896558e+00,2.177409199027447540e-07
1.619883712007237131e+00,1.218752542932547688e-34
1.668971097219577704e+00,4.228018081037604564e-34
1.718058482431918055e+00,5.115751414778595235e-34
1.767145867644258628e+00,3.490748024201865411e-34
1.816233252856599201e+00,3.084497176557682955e-35
1.865320638068939552e+00,1.203706215242022622e-34
1.914408023281280125e+00,1.203706215242022622e-34
1.963495408493620697e+00,2.046300565911437666e-34
2.012582793705961048e+00,1.745374012100932278e-34
2.061670178918301843e+00,1.564818079814629558e-34
2.110757564130642194e+00,2.226856498197740600e-34
2.159844949342982545e+00,1.023150282955719047e-34
2.208932334555323340e+00,9.629649721936179265e-35
2.258019719767663691e+00,4.096362713745507508e-34
2.307107104980004486e+00,5.115751414778595235e-34
2.356194490192344837e+00,3.009265538105056555e-35
2.405281875404685188e+00,2.708338984294550846e-34
2.454369260617025983e+00,1.564818079814629558e-34
2.503456645829366334e+00,6.033577403900638176e-34
2.552544031041707129e+00,1.023150282955719047e-34
2.601631416254047480e+00,1.218987641802712146e-34
2.650718801466387831e+00,6.018531076210112041e-36
2.699806186678728626e+00,8.907425992790962399e-34
2.748893571891068976e+00,1.757411074253352374e-33
2.797980957103409327e+00,4.814824860968090488e-34
2.847068342315750122e+00,0.000000000000000000e+00
2.896155727528090473e+00,4.010786725005644977e-34
2.945243112740430824e+00,6.018531076210112041e-34
2.994330497952771619e+00,3.851859888774471706e-34
3.043417883165111970e+00,1.745374012100932278e-34
3.092505268377452765e+00,1.203706215242022622e-34
