k,PSD
0.000000000000000000e+00,3.385423730368188023e-36
4.908738521234051744e-02,9.548265399272716503e-02
9.817477042468103487e-02,4.804323118475587601e-02
1.472621556370215523e-01,4.949844214825811772e-03
1.963495408493620697e-01,3.167813397723255597e-02
2.454369260617025872e-01,2.196603388337512851e-03
2.945243112740431046e-01,2.841215842881033866e-03
3.436116964863836221e-01,1.058142966418314061e-02
3.926990816987241395e-01,5.546867120364338752e-03
4.417864669110646569e-01,4.618219250391438283e-03
4.908738521234051744e-01,3.910789944862177667e-03
5.399612373357456363e-01,1.725668342396723814e-02
5.890486225480862092e-01,8.864613204816323977e-03
6.381360077604267822e-01,2.802595174016335369e-03
6.872233929727672441e-01,3.810758799667499997e-04
7.363107781851077061e-01,4.096171784855774786e-04
7.853981633974482790e-01,1.544059515060113453e-03
8.344855486097888519e-01,1.863805087453819639e-03
8.835729338221293139e-01,1.074251225165393083e-03
9.326603190344697758e-01,1.259838611282565685e-03
9.817477042468103487e-01,8.743364688871548777e-04
1.030835089459150922e+00,3.665490740242696548e-04
1.079922474671491273e+00,4.072425594748851907e-04
1.129009859883831846e+00,1.948816631967704646e-03
1.178097245096172418e+00,2.434234118026148389e-04
1.227184630308512991e+00,7.779256490484808169e-05
1.276272015520853564e+00,3.296306804605744702e-04
1.325359400733193915e+00,6.131762087643800223e-04
1.374446785945534488e+00,1.804347165456360725e-04
1.423534171157875061e+00,1.041499147600859660e-04
1.472621556370215412e+00,2.521879913015292150e-04
1.521708941582555985e+00,1.506754708225547883e-04
1.570796326794896558e+00,2.177409199027247164e-07
1.619883712007237131e+00,9.208352546601469712e-34
1.668971097219577704e+00,9.780112998841429928e-35
1.718058482431918055e+00,3.385423730368188023e-35
1.767145867644258628e+00,3.009265538105056555e-35
1.816233252856599201e+00,2.407412430484044816e-35
1.865320638068939552e+00,1.354169492147275209e-34
1.914408023281280125e+00,1.542248588278841210e-35
1.963495408493620697e+00,5.454293787815414037e-35
2.012582793705961048e+00,6.078716386972213161e-34
2.061670178918301843e+00,3.009265538105056555e-35
2.110757564130642194e+00,1.880790961315660227e-34
2.159844949342982545e+00,3.009265538105056448e-34
2.208932334555323340e+00,1.700235029029356865e-34
2.258019719767663691e+00,3.761581922631320025e-35
2.307107104980004486e+00,1.925929944387236281e-34
2.356194490192344837e+00,6.394689268473244899e-34
2.405281875404685188e+00,2.557875707389297617e-35
2.454369260617025983e+00,8.095864692983260235e-34
2.503456645829366334e+00,1.203706215242022675e-35
2.552544031041707129e+00,2.407412430484044816e-35
2.601631416254047480e+00,9.629649721936180976e-34
2.650718801466387831e+00,3.385423730368188023e-36
2.699806186678728626e+00,6.078716386972213161e-34
2.748893571891068976e+00,4.814824860968090702e-35
2.797980957103409327e+00,1.504632769052528010e-34
2.847068342315750122e+00,4.147144069701030328e-35
2.896155727528090473e+00,3.987276837989199227e-34
2.945243112740430824e+00,4.814824860968090488e-34
2.994330497952771619e+00,2.783570622747177247e-34
3.043417883165111970e+00,3.912045199536571971e-34
3.092505268377452765e+00,6.018531076210112041e-34
