k,PSD
0.000000000000000000e+00,2.467973899438409069e-33
3.067961575771282340e-03,6.478143025642590057e-03
6.135923151542564680e-03,4.270226549673764721e-02
9.203884727313847020e-03,1.178656833782393693e-01
1.227184630308512936e-02,4.871316558513657732e-03
1.533980787885641170e-02,1.635700950605126769e-01
1.840776945462769404e-02,1.876981400016730639e-02
2.147573103039897638e-02,1.457595891541006890e-02
2.454369260617025872e-02,9.738383924914141565e-03
2.761165418194154106e-02,2.586932306967269779e-02
3.067961575771282340e-02,2.462331037347870177e-02
3.374757733348410227e-02,5.126489205770305702e-02
3.681553890925538808e-02,6.717630475099137244e-02
3.988350048502667389e-02,3.188912623922411475e-03
4.295146206079795276e-02,8.109366739105572375e-02
4.601942363656923163e-02,1.771479229456915383e-02
4.908738521234051744e-02,4.687815240840270681e-02
5.215534678811180325e-02,7.406492933693488434e-02
5.522330836388308212e-02,3.549451103867881652e-03
5.829126993965436099e-02,5.800770425269328318e-02
6.135923151542564680e-02,2.478240681505990833e-02
6.442719309119693261e-02,2.189257786081228591e-02
6.749515466696820454e-02,2.606055623172681343e-02
7.056311624273949035e-02,3.920698048407521979e-02
7.363107781851077616e-02,1.234501512410557528e-01
7.669903939428206197e-02,2.906718111424961073e-02
7.976700097005334777e-02,2.162800263630432554e-02
8.283496254582461971e-02,6.551413277104124744e-02
8.590292412159590552e-02,8.666437074390523354e-02
8.897088569736719132e-02,1.032986432775403890e-01
9.203884727313846326e-02,6.552804208546746112e-02
9.510680884890974907e-02,1.470936887805270321e-01
9.817477042468103487e-02,1.507391518756101834e-01
1.012427320004523207e-01,1.401488933511930435e-01
1.043106935762236065e-01,2.001379778575387153e-02
1.073786551519948784e-01,1.078923293504859687e-01
1.104466167277661642e-01,3.171568741964182064e-02
1.135145783035374500e-01,1.502381481761697925e-03
1.165825398793087220e-01,3.081815321676138059e-02
1.196505014550800078e-01,7.529620231976774658e-02
1.227184630308512936e-01,2.536729450304324104e-02
1.257864246066225655e-01,7.076774613175810125e-04
1.288543861823938652e-01,5.609251719847386380e-02
1.319223477581651371e-01,6.483154022281788220e-02
1.349903093339364091e-01,5.407911056190328747e-02
1.380582709097077088e-01,8.543537926169171570e-02
1.411262324854789807e-01,1.150214762609286234e-02
1.441941940612502804e-01,3.389299776932599984e-02
1.472621556370215523e-01,1.119599180498824786e-01
1.503301172127928242e-01,3.173728356977770920e-03
1.533980787885641239e-01,4.372886106109620530e-02
1.564660403643353959e-01,3.497490684378028181e-02
1.595340019401066955e-01,3.885640573046270779e-02
1.626019635158779675e-01,4.529752531145554012e-02
1.656699250916492394e-01,5.124705266328436620e-02
1.687378866674205391e-01,1.971035565171798745e-02
1.718058482431918110e-01,4.352629760217950616e-02
1.748738098189630830e-01,5.016242407232074201e-03
1.779417713947343826e-01,6.762561819904043363e-03
1.810097329705056546e-01,6.591342297230076523e-03
1.840776945462769265e-01,9.707434957365975586e-03
1.871456561220482262e-01,1.211636626260074838e-02
1.902136176978194981e-01,6.485572585037373793e-03
1.932815792735907978e-01,5.754052385929843156e-04
1.963495408493620697e-01,1.751172427681222743e-03
1.994175024251333417e-01,3.240160182641631942e-02
2.024854640009046414e-01,6.927136526077100342e-02
2.055534255766759133e-01,1.031232477641566385e-02
2.086213871524472130e-01,1.876182748485442572e-02
2.116893487282184849e-01,1.290126138320610294e-01
2.147573103039897569e-01,1.645052734072792108e-02
2.178252718797610565e-01,1.607892790276668846e-03
2.208932334555323285e-01,1.173738478207765265e-02
2.239611950313036004e-01,5.201437499807429199e-02
2.270291566070749001e-01,3.674537389139827248e-02
2.300971181828461720e-01,6.254331162687923329e-02
2.331650797586174440e-01,2.288259476220768501e-03
2.362330413343887436e-01,9.204697256377521175e-03
2.393010029101600156e-01,3.558682133681247139e-02
2.423689644859313153e-01,4.967932417090319130e-02
2.454369260617025872e-01,3.492562789810002392e-03
2.485048876374738591e-01,1.270495566904266405e-01
2.515728492132451311e-01,6.763892132444794536e-02
2.546408107890164585e-01,1.048638626053633310e-01
2.577087723647877304e-01,6.435547999578657141e-02
2.607767339405590024e-01,1.524473507034881381e-01
2.638446955163302743e-01,5.856958874983431845e-02
2.669126570921015462e-01,5.346771281722544761e-02
2.699806186678728182e-01,1.805939425121165162e-02
2.730485802436441456e-01,1.171460771039882776e-01
2.761165418194154175e-01,4.541850624880228865e-02
2.791845033951866895e-01,3.445418614374718552e-02
2.822524649709579614e-01,1.006650484753770711e-02
2.853204265467292333e-01,5.525801985511231322e-04
2.883883881225005608e-01,9.885423099354304077e-02
2.914563496982718327e-01,1.052582045903637381e-01
2.945243112740431046e-01,3.573479943373952805e-02
2.975922728498143766e-01,4.420311789308387432e-03
3.006602344255856485e-01,8.976575651914836876e-03
3.037281960013569759e-01,1.135860926720382545e-02
3.067961575771282479e-01,8.149993941088860827e-02
3.098641191528995198e-01,1.129194258433434579e-02
3.129320807286707917e-01,3.246303750298048379e-02
3.160000423044420637e-01,1.274054584382146305e-02
3.190680038802133911e-01,1.345155726904101456e-01
3.221359654559846630e-01,9.281803522733290610e-03
3.252039270317559350e-01,4.050823528555101867e-03
3.282718886075272069e-01,7.534413171510294036e-03
3.313398501832984788e-01,6.688781885372212244e-02
3.344078117590697508e-01,1.441125441007619704e-02
3.374757733348410782e-01,7.511831434014306329e-03
3.405437349106123501e-01,1.923238411317146068e-01
3.436116964863836221e-01,2.051091794314826092e-02
3.466796580621548940e-01,1.290443394617371842e-01
3.497476196379261659e-01,5.232545044168934040e-02
3.528155812136974934e-01,3.306258330099810794e-02
3.558835427894687653e-01,2.086603483575833959e-02
3.589515043652400372e-01,5.352925801144271800e-02
3.620194659410113092e-01,2.407154895525625421e-02
3.650874275167825811e-01,6.815149360021931224e-02
3.681553890925538530e-01,1.363295417168826698e-02
3.712233506683251805e-01,2.269388809933673701e-01
3.742913122440964524e-01,2.913568440617775868e-01
3.773592738198677243e-01,1.124052103121481183e-01
3.804272353956389963e-01,3.245521405793970748e-01
3.834951969714102682e-01,4.011770574478575740e-02
3.865631585471815956e-01,8.289958085584193948e-02
3.896311201229528676e-01,2.760895853437241032e-02
3.926990816987241395e-01,1.389690452594406489e-01
3.957670432744954114e-01,1.190755967975028196e-01
3.988350048502666834e-01,5.404957414161953161e-03
4.019029664260380108e-01,4.894904349119710840e-02
4.049709280018092827e-01,1.982347762407766448e-03
4.080388895775805547e-01,2.329573543560657656e-01
4.111068511533518266e-01,2.594950527107437455e-01
4.141748127291230985e-01,3.096379637264412565e-01
4.172427743048944260e-01,9.891118562272149806e-03
4.203107358806656979e-01,7.870394115349968467e-02
4.233786974564369698e-01,3.861721030604657878e-01
4.264466590322082418e-01,3.664536354402256162e-03
4.295146206079795137e-01,1.913953367539620865e-01
4.325825821837507856e-01,1.878665067610981176e-01
4.356505437595221131e-01,2.125785380815409520e-01
4.387185053352933850e-01,9.741921747140486199e-02
4.417864669110646569e-01,4.458953771161045659e-02
4.448544284868359289e-01,1.394759716609341726e-01
