k,PSD
0.000000000000000000e+00,1.179632090937181960e-33
4.908738521234051744e-02,6.792751602492254522e-03
9.817477042468103487e-02,5.741021274366544039e-03
1.472621556370215523e-01,9.560774519349841960e-03
1.963495408493620697e-01,5.577654289310245844e-02
2.454369260617025872e-01,4.518568103054947105e-03
2.945243112740431046e-01,2.829384555879988980e-02
3.436116964863836221e-01,2.278817991360418752e-02
3.926990816987241395e-01,1.003364867353555810e-02
4.417864669110646569e-01,1.400178608954985408e-02
4.908738521234051744e-01,5.218899008514733991e-03
5.399612373357456363e-01,6.859512771651670848e-04
5.890486225480862092e-01,2.614812082977339622e-03
6.381360077604267822e-01,5.145002199431057688e-03
6.872233929727672441e-01,3.219425275250578124e-03
7.363107781851077061e-01,2.427675146754318999e-03
7.853981633974482790e-01,1.940576336187041810e-03
8.344855486097888519e-01,1.531403567383202814e-05
8.835729338221293139e-01,2.590769844162732916e-03
9.326603190344697758e-01,2.432684841663578304e-03
9.817477042468103487e-01,2.052673661532686394e-05
1.030835089459150922e+00,3.935345182024620235e-04
1.079922474671491273e+00,2.374144798022472568e-05
1.129009859883831846e+00,6.108491998929224818e-06
1.178097245096172418e+00,6.523842859395301850e-04
1.227184630308512991e+00,1.123078988284313283e-04
1.276272015520853564e+00,2.414668583713960111e-04
1.325359400733193915e+00,1.122986324332871376e-04
1.374446785945534488e+00,5.503606158744824440e-04
1.423534171157875061e+00,7.914675467454541441e-06
1.472621556370215412e+00,2.910149923326781356e-04
1.521708941582555985e+00,3.242108399835584456e-05
1.570796326794896558e+00,2.177409199027271516e-07
1.619883712007237131e+00,2.275757063191949043e-34
1.668971097219577704e+00,1.504632769052528010e-34
1.718058482431918055e+00,5.416677968589100837e-35
1.767145867644258628e+00,2.407412430484044816e-35
1.816233252856599201e+00,8.200248591336277656e-35
1.865320638068939552e+00,2.407412430484044816e-35
1.914408023281280125e+00,5.973392093138536200e-34
1.963495408493620697e+00,7.824090399073146722e-35
2.012582793705961048e+00,2.242843221368924565e-34
2.061670178918301843e+00,2.407412430484044816e-35
2.110757564130642194e+00,6.018531076210113110e-35
2.159844949342982545e+00,4.408574013323907070e-34
2.208932334555323340e+00,1.203706215242022675e-35
2.258019719767663691e+00,1.354169492147275209e-35
2.307107104980004486e+00,7.523163845262641120e-35
2.356194490192344837e+00,3.129636159629258689e-34
2.405281875404685188e+00,3.009265538105056555e-35
2.454369260617025983e+00,3.129636159629258689e-34
2.503456645829366334e+00,2.407412430484045244e-34
2.552544031041707129e+00,6.018531076210113110e-35
2.601631416254047480e+00,4.935195482492292729e-34
2.650718801466387831e+00,3.129636159629258689e-34
2.699806186678728626e+00,1.354169492147275209e-35
2.748893571891068976e+00,4.092601131822876188e-34
2.797980957103409327e+00,1.203706215242022622e-34
2.847068342315750122e+00,4.814824860968090488e-34
2.896155727528090473e+00,3.912045199536571971e-34
2.945243112740430824e+00,4.814824860968090488e-34
2.994330497952771619e+00,2.407412430484044816e-35
3.043417883165111970e+00,2.166671187435640335e-34
3.092505268377452765e+00,2.226856498197740600e-34
