k,PSD
0.000000000000000000e+00,1.096877288639292919e-33
4.908738521234051744e-02,9.075966030688464858e-02
9.817477042468103487e-02,4.827629608410054923e-02
1.472621556370215523e-01,3.771712747986077571e-03
1.963495408493620697e-01,5.091225507203113454e-02
2.454369260617025872e-01,1.227525023716700405e-03
2.945243112740431046e-01,1.404029829008780934e-02
3.436116964863836221e-01,3.807739570766955489e-03
3.926990816987241395e-01,8.903375666291109790e-04
4.417864669110646569e-01,6.510140643649625983e-03
4.908738521234051744e-01,4.152232615950532391e-03
5.399612373357456363e-01,3.309490897214528368e-03
5.890486225480862092e-01,1.465065165312893353e-04
6.381360077604267822e-01,5.512166971618508507e-03
6.872233929727672441e-01,1.867251988084125697e-03
7.363107781851077061e-01,6.878425455682738395e-07
7.853981633974482790e-01,1.329296090443749705e-03
8.344855486097888519e-01,1.511322847536195795e-03
8.835729338221293139e-01,9.727475897663414922e-04
9.326603190344697758e-01,1.220991341805108786e-03
9.817477042468103487e-01,1.546600087859275382e-04
1.030835089459150922e+00,6.065343636589369926e-04
1.079922474671491273e+00,5.320980032475609118e-04
1.129009859883831846e+00,2.173509590848215958e-05
1.178097245096172418e+00,2.655593872246958401e-04
1.227184630308512991e+00,2.291914068649265510e-04
1.276272015520853564e+00,7.071116699137532276e-04
1.325359400733193915e+00,1.543072651020824829e-05
1.374446785945534488e+00,3.383733555098737038e-04
1.423534171157875061e+00,4.638955125301633733e-05
1.472621556370215412e+00,1.102045545708008387e-04
1.521708941582555985e+00,9.233716067775667017e-05
1.570796326794896558e+00,2.177409199027150549e-07
1.619883712007237131e+00,1.925929944387236281e-34
1.668971097219577704e+00,2.166671187435640335e-34
1.718058482431918055e+00,1.278937853694649236e-34
1.767145867644258628e+00,6.018531076210112041e-34
1.816233252856599201e+00,1.090858757563082674e-35
1.865320638068939552e+00,1.357931074069906529e-34
1.914408023281280125e+00,7.372700568357387250e-35
1.963495408493620697e+00,8.313096049015216187e-35
2.012582793705961048e+00,2.061346893601963374e-34
2.061670178918301843e+00,9.629649721936179265e-35
2.110757564130642194e+00,1.745374012100932278e-34
2.159844949342982545e+00,1.820605650553558892e-34
2.208932334555323340e+00,3.761581922631320025e-35
2.258019719767663691e+00,1.203706215242022675e-35
2.307107104980004486e+00,9.780112998841429928e-35
2.356194490192344837e+00,1.023150282955719047e-34
2.405281875404685188e+00,7.293501636470734560e-35
2.454369260617025983e+00,1.023150282955719047e-34
2.503456645829366334e+00,2.407412430484045244e-34
2.552544031041707129e+00,7.824090399073146722e-35
2.601631416254047480e+00,8.580168365522039268e-34
2.650718801466387831e+00,6.876171754570054717e-34
2.699806186678728626e+00,1.925929944387236281e-34
2.748893571891068976e+00,1.504632769052528010e-34
2.797980957103409327e+00,1.203706215242022622e-34
2.847068342315750122e+00,4.814824860968090488e-34
2.896155727528090473e+00,3.490748024201865411e-34
2.945243112740430824e+00,9.629649721936179265e-35
2.994330497952771619e+00,1.504632769052528010e-34
3.043417883165111970e+00,3.851859888774471706e-34
3.092505268377452765e+00,3.851859888774471706e-34
