k,PSD
0.000000000000000000e+00,2.742193221598232299e-34
4.908738521234051744e-02,9.273407292156170267e-02
9.817477042468103487e-02,3.720734588729481679e-02
1.472621556370215523e-01,1.273470561574420110e-02
1.963495408493620697e-01,7.109709066812370387e-03
2.454369260617025872e-01,1.069682946775059144e-03
2.945243112740431046e-01,1.743509301355428490e-02
3.436116964863836221e-01,1.456993809035699993e-04
3.926990816987241395e-01,1.052936444654299121e-02
4.417864669110646569e-01,1.823436485009729754e-03
4.908738521234051744e-01,6.592558711432206647e-03
5.399612373357456363e-01,1.799535936707434005e-04
5.890486225480862092e-01,9.965801639312932660e-05
6.381360077604267822e-01,4.184903138207918434e-03
6.872233929727672441e-01,1.547598271474854605e-03
7.363107781851077061e-01,7.818148973627226826e-04
7.853981633974482790e-01,6.340599637276407357e-05
8.344855486097888519e-01,1.285013964836392202e-03
8.835729338221293139e-01,1.893668755261370198e-03
9.326603190344697758e-01,3.957384078191077733e-04
9.817477042468103487e-01,1.495736686734773545e-03
1.030835089459150922e+00,1.045664332299772953e-03
1.079922474671491273e+00,4.805374372298339800e-06
1.129009859883831846e+00,8.117864884845952720e-05
1.178097245096172418e+00,7.817182862064189558e-04
1.227184630308512991e+00,1.916198873426888790e-04
1.276272015520853564e+00,5.016520391981970842e-05
1.325359400733193915e+00,1.619314031899300157e-04
1.374446785945534488e+00,9.867594428819887964e-07
1.423534171157875061e+00,3.274098748591748186e-04
1.472621556370215412e+00,7.222970760037993606e-06
1.521708941582555985e+00,2.602834379979007809e-05
1.570796326794896558e+00,2.177409199027283692e-07
1.619883712007237131e+00,9.629649721936179265e-35
1.668971097219577704e+00,3.490748024201865411e-34
1.718058482431918055e+00,1.542248588278841210e-35
1.767145867644258628e+00,4.814824860968090702e-35
1.816233252856599201e+00,3.761581922631320025e-34
1.865320638068939552e+00,7.410316387583701519e-35
1.914408023281280125e+00,1.177375141783602954e-34
1.963495408493620697e+00,3.009265538105056555e-35
2.012582793705961048e+00,6.695615822283749645e-35
2.061670178918301843e+00,6.018531076210113110e-35
2.110757564130642194e+00,1.843175142089346812e-35
2.159844949342982545e+00,1.519679096743053290e-34
2.208932334555323340e+00,4.122693787203926748e-34
2.258019719767663691e+00,3.325238419606086475e-34
2.307107104980004486e+00,2.949080227342954900e-34
2.356194490192344837e+00,1.880790961315660227e-34
2.405281875404685188e+00,4.814824860968090488e-34
2.454369260617025983e+00,3.325238419606087330e-34
2.503456645829366334e+00,2.467597741246145937e-34
2.552544031041707129e+00,2.818365255531516101e-34
2.601631416254047480e+00,7.711242941394203914e-35
2.650718801466387831e+00,2.226856498197740600e-34
2.699806186678728626e+00,1.880790961315660227e-34
2.748893571891068976e+00,1.354169492147275209e-33
2.797980957103409327e+00,5.419028957290745412e-35
2.847068342315750122e+00,1.816388564569983936e-34
2.896155727528090473e+00,1.057004520259401141e-34
2.945243112740430824e+00,2.407412430484044816e-35
2.994330497952771619e+00,9.629649721936180976e-34
3.043417883165111970e+00,4.092601131822876188e-34
3.092505268377452765e+00,4.814824860968090488e-34
