k,PSD
0.000000000000000000e+00,2.407412430484044816e-35
4.908738521234051744e-02,1.593476536460089119e-02
9.817477042468103487e-02,2.941479824622956346e-02
1.472621556370215523e-01,1.432590740165248181e-03
1.963495408493620697e-01,4.761747180015058617e-02
2.454369260617025872e-01,2.439016869884765362e-02
2.945243112740431046e-01,1.635212812872072555e-02
3.436116964863836221e-01,2.479715117650758277e-02
3.926990816987241395e-01,2.637898662983836906e-02
4.417864669110646569e-01,8.807234938237663499e-03
4.908738521234051744e-01,6.568417547380803884e-03
5.399612373357456363e-01,3.700940669522606846e-03
5.890486225480862092e-01,8.089747210577139273e-04
6.381360077604267822e-01,1.369177544388563593e-03
6.872233929727672441e-01,1.351184269620657897e-03
7.363107781851077061e-01,5.036468585619031674e-04
7.853981633974482790e-01,6.691540891224210695e-04
8.344855486097888519e-01,2.084073253299806132e-03
8.835729338221293139e-01,2.060856245775492205e-03
9.326603190344697758e-01,1.030324067021365532e-04
9.817477042468103487e-01,2.438567739968170822e-05
1.030835089459150922e+00,3.025461401058490143e-04
1.079922474671491273e+00,1.158762591941205067e-03
1.129009859883831846e+00,5.747477782989153516e-04
1.178097245096172418e+00,3.371862530791670457e-05
1.227184630308512991e+00,1.152025145632240468e-04
1.276272015520853564e+00,1.791002891755814192e-04
1.325359400733193915e+00,9.390746524525671541e-05
1.374446785945534488e+00,2.087782504387126407e-04
1.423534171157875061e+00,1.191372290409028697e-05
1.472621556370215412e+00,6.370235625127970464e-05
1.521708941582555985e+00,1.037129876847917067e-05
1.570796326794896558e+00,2.177409199027235782e-07
1.619883712007237131e+00,3.189821470391359809e-34
1.668971097219577704e+00,4.167832770275500878e-34
1.718058482431918055e+00,1.354169492147275209e-34
1.767145867644258628e+00,7.599335879195925137e-34
1.816233252856599201e+00,2.557875707389298045e-34
1.865320638068939552e+00,6.800940116117427461e-34
1.914408023281280125e+00,2.407412430484045244e-34
1.963495408493620697e+00,3.009265538105056689e-36
2.012582793705961048e+00,6.560198873069022980e-34
2.061670178918301843e+00,1.278937853694648809e-34
2.110757564130642194e+00,2.226856498197740600e-34
2.159844949342982545e+00,1.392725706854246026e-34
2.208932334555323340e+00,1.222514124855179175e-36
2.258019719767663691e+00,7.824090399073145653e-34
2.307107104980004486e+00,2.226856498197740600e-34
2.356194490192344837e+00,4.589129945610209576e-34
2.405281875404685188e+00,1.880790961315660227e-34
2.454369260617025983e+00,5.416677968589100837e-35
2.503456645829366334e+00,1.460434181461610214e-34
2.552544031041707129e+00,6.357073449246930843e-35
2.601631416254047480e+00,1.925929944387236281e-34
2.650718801466387831e+00,6.259272319258518233e-34
2.699806186678728626e+00,3.945899436840253851e-34
2.748893571891068976e+00,1.087097175640451487e-34
2.797980957103409327e+00,4.814824860968090488e-34
2.847068342315750122e+00,4.814824860968090488e-34
2.896155727528090473e+00,2.467597741246145937e-34
2.945243112740430824e+00,1.637040452729150475e-33
2.994330497952771619e+00,3.347807911141874288e-35
3.043417883165111970e+00,3.129636159629258689e-34
3.092505268377452765e+00,1.023150282955719047e-34
