k,PSD
0.000000000000000000e+00,2.542829379698772337e-34
4.908738521234051744e-02,3.349233877183273311e-02
9.817477042468103487e-02,1.369758876977778678e-02
1.472621556370215523e-01,3.187940440939632247e-02
1.963495408493620697e-01,9.357556845842895932e-02
2.454369260617025872e-01,1.294925317516067327e-02
2.945243112740431046e-01,4.383832933736524912e-02
3.436116964863836221e-01,4.115275455344566402e-02
3.926990816987241395e-01,8.516137052455810541e-03
4.417864669110646569e-01,3.306757890969280137e-03
4.908738521234051744e-01,2.289553770400967140e-03
5.399612373357456363e-01,1.043593775554498438e-03
5.890486225480862092e-01,3.453596941022068611e-03
6.381360077604267822e-01,3.467981142973509305e-04
6.872233929727672441e-01,2.085835149090529820e-04
7.363107781851077061e-01,1.251997163335635084e-03
7.853981633974482790e-01,8.418078673898218595e-05
8.344855486097888519e-01,9.340378570784023653e-04
8.835729338221293139e-01,1.152066989969275593e-03
9.326603190344697758e-01,1.216726959707546945e-03
9.817477042468103487e-01,2.595751054699557258e-03
1.030835089459150922e+00,1.006053529006461139e-04
1.079922474671491273e+00,2.466305623838108141e-04
1.129009859883831846e+00,8.249859657863035001e-05
1.178097245096172418e+00,3.873465365819263534e-04
1.227184630308512991e+00,4.382698900542537435e-04
1.276272015520853564e+00,1.057646143033743219e-04
1.325359400733193915e+00,1.415679030170011220e-04
1.374446785945534488e+00,1.098923994213816548e-04
1.423534171157875061e+00,1.906741888415586532e-04
1.472621556370215412e+00,6.464142184417729926e-05
1.521708941582555985e+00,4.070576532785130547e-06
1.570796326794896558e+00,2.177409199027257222e-07
1.619883712007237131e+00,5.416677968589100837e-35
1.668971097219577704e+00,4.814824860968090702e-35
1.718058482431918055e+00,1.203706215242022622e-34
1.767145867644258628e+00,1.264831921484781359e-34
1.816233252856599201e+00,3.912045199536571971e-34
1.865320638068939552e+00,7.974553675978399523e-35
1.914408023281280125e+00,7.824090399073146722e-35
1.963495408493620697e+00,1.598672317118311225e-34
2.012582793705961048e+00,1.023150282955719047e-34
2.061670178918301843e+00,2.046300565911437666e-34
2.110757564130642194e+00,5.736412432012764749e-34
2.159844949342982545e+00,7.523163845262640906e-34
2.208932334555323340e+00,9.780112998841429928e-35
2.258019719767663691e+00,1.745374012100932278e-34
2.307107104980004486e+00,7.824090399073146722e-35
2.356194490192344837e+00,4.701977403289150867e-37
2.405281875404685188e+00,9.178259891220419793e-35
2.454369260617025983e+00,6.112570624275896752e-34
2.503456645829366334e+00,3.876780369011904201e-35
2.552544031041707129e+00,2.226856498197740600e-34
2.601631416254047480e+00,1.640049718267255745e-34
2.650718801466387831e+00,7.824090399073146722e-35
2.699806186678728626e+00,3.129636159629258689e-34
2.748893571891068976e+00,1.745374012100932278e-34
2.797980957103409327e+00,1.251854463851703476e-33
2.847068342315750122e+00,5.070612431707019394e-34
2.896155727528090473e+00,1.925929944387236281e-34
2.945243112740430824e+00,3.987276837989199227e-34
2.994330497952771619e+00,1.203706215242022622e-34
3.043417883165111970e+00,1.203706215242022622e-34
3.092505268377452765e+00,1.203706215242022622e-34
