k,PSD
0.000000000000000000e+00,1.218752542932547688e-34
4.908738521234051744e-02,6.085427424012902070e-03
9.817477042468103487e-02,1.272118395243601423e-02
1.472621556370215523e-01,2.766406702792214081e-02
1.963495408493620697e-01,8.541261935176969189e-02
2.454369260617025872e-01,2.274170544448972028e-02
2.945243112740431046e-01,3.924676153064589855e-03
3.436116964863836221e-01,2.642766614928855184e-03
3.926990816987241395e-01,1.127476334305389967e-02
4.417864669110646569e-01,6.854864783955907578e-03
4.908738521234051744e-01,1.625804327505324734e-02
5.399612373357456363e-01,8.654745473259962399e-04
5.890486225480862092e-01,3.426311834663759576e-03
6.381360077604267822e-01,1.229333861199594698e-03
6.872233929727672441e-01,2.034276267811132872e-03
7.363107781851077061e-01,9.066308200408745724e-04
7.853981633974482790e-01,6.483485444480485823e-04
8.344855486097888519e-01,2.644877176715099924e-04
8.835729338221293139e-01,3.654020998872835801e-04
9.326603190344697758e-01,3.949315295711011134e-04
9.817477042468103487e-01,3.840561698302226087e-04
1.030835089459150922e+00,3.321728662111040828e-04
1.079922474671491273e+00,2.160909893382823314e-04
1.129009859883831846e+00,6.519103841301085922e-04
1.178097245096172418e+00,1.914259964256171244e-04
1.227184630308512991e+00,2.160983339605210111e-04
1.276272015520853564e+00,5.448824153902541136e-05
1.325359400733193915e+00,2.420939715730270831e-04
1.374446785945534488e+00,6.141313455194329085e-04
1.423534171157875061e+00,8.144403984724319593e-05
1.472621556370215412e+00,6.322271680142740327e-05
1.521708941582555985e+00,4.360265118148297646e-05
1.570796326794896558e+00,2.177409199027262252e-07
1.619883712007237131e+00,1.218752542932547688e-34
1.668971097219577704e+00,1.203706215242022622e-34
1.718058482431918055e+00,2.190181074452086512e-34
1.767145867644258628e+00,3.851859888774471706e-34
1.816233252856599201e+00,6.018531076210113110e-35
1.865320638068939552e+00,2.445028249710357482e-35
1.914408023281280125e+00,1.203706215242022622e-34
1.963495408493620697e+00,1.925929944387236281e-34
2.012582793705961048e+00,7.523163845262641387e-36
2.061670178918301843e+00,1.504632769052528010e-34
2.110757564130642194e+00,2.678246328913499858e-34
2.159844949342982545e+00,1.233798870623072626e-33
2.208932334555323340e+00,1.354169492147275209e-35
2.258019719767663691e+00,4.769685877896512937e-34
2.307107104980004486e+00,3.160669210490966224e-34
2.356194490192344837e+00,2.226856498197740600e-34
2.405281875404685188e+00,5.567141245494351500e-35
2.454369260617025983e+00,4.814824860968090702e-35
2.503456645829366334e+00,1.023150282955719047e-34
2.552544031041707129e+00,1.745374012100932278e-34
2.601631416254047480e+00,8.463559325920470057e-35
2.650718801466387831e+00,1.925929944387236281e-34
2.699806186678728626e+00,1.203706215242022622e-34
2.748893571891068976e+00,9.629649721936179265e-35
2.797980957103409327e+00,3.009265538105056555e-35
2.847068342315750122e+00,3.385423730368188023e-34
2.896155727528090473e+00,1.017131751879508935e-33
2.945243112740430824e+00,3.851859888774471706e-34
2.994330497952771619e+00,1.057004520259401141e-34
3.043417883165111970e+00,8.907425992790962399e-34
3.092505268377452765e+00,4.814824860968090702e-35
