k,PSD
0.000000000000000000e+00,1.096877288639292919e-33
4.908738521234051744e-02,1.434215410726278131e-02
9.817477042468103487e-02,6.268538728932473124e-03
1.472621556370215523e-01,8.527258887660076059e-02
1.963495408493620697e-01,1.157139002140173539e-01
2.454369260617025872e-01,7.921751776976546783e-03
2.945243112740431046e-01,3.104390392050409425e-02
3.436116964863836221e-01,1.714184676129085205e-02
3.926990816987241395e-01,9.360075865368622933e-03
4.417864669110646569e-01,2.071647520859091346e-02
4.908738521234051744e-01,1.496934674443280633e-03
5.399612373357456363e-01,1.326705783986220849e-03
5.890486225480862092e-01,1.806891675773794051e-03
6.381360077604267822e-01,1.108141965252783072e-03
6.872233929727672441e-01,2.292197805327584725e-03
7.363107781851077061e-01,4.186147433287052159e-04
7.853981633974482790e-01,5.372771278297559620e-04
8.344855486097888519e-01,5.397102948371372295e-04
8.835729338221293139e-01,4.431959473247467111e-04
9.326603190344697758e-01,4.282919359148924198e-06
9.817477042468103487e-01,1.471906559139205678e-04
1.030835089459150922e+00,9.670864250276106850e-04
1.079922474671491273e+00,1.546179580810642809e-03
1.129009859883831846e+00,3.378759626801953932e-04
1.178097245096172418e+00,1.047902207061525990e-03
1.227184630308512991e+00,6.490226645431740099e-05
1.276272015520853564e+00,5.283382909997759750e-04
1.325359400733193915e+00,2.547063375005355454e-04
1.374446785945534488e+00,7.010789488765916105e-04
1.423534171157875061e+00,1.192758637199137591e-04
1.472621556370215412e+00,5.349441337923524069e-05
1.521708941582555985e+00,8.386548770686962453e-05
1.570796326794896558e+00,2.177409199027207724e-07
1.619883712007237131e+00,5.085658759397546385e-34
1.668971097219577704e+00,3.761581922631320025e-35
1.718058482431918055e+00,1.564818079814628788e-33
1.767145867644258628e+00,9.629649721936179265e-35
1.816233252856599201e+00,4.453712996395482910e-34
1.865320638068939552e+00,6.168994353115364842e-35
1.914408023281280125e+00,8.245387574407853496e-34
1.963495408493620697e+00,6.018531076210113110e-35
2.012582793705961048e+00,8.561360455908884378e-34
2.061670178918301843e+00,7.974553675978399523e-35
2.110757564130642194e+00,1.925929944387236281e-34
2.159844949342982545e+00,4.167832770275500878e-34
2.208932334555323340e+00,6.755801133045850766e-34
2.258019719767663691e+00,3.401410453539370278e-34
2.307107104980004486e+00,5.781551415084338879e-34
2.356194490192344837e+00,5.115751414778594166e-35
2.405281875404685188e+00,2.683947476514987953e-34
2.454369260617025983e+00,8.764485879730976729e-35
2.503456645829366334e+00,3.385423730368188023e-34
2.552544031041707129e+00,6.018531076210112041e-34
2.601631416254047480e+00,1.687128267017688146e-34
2.650718801466387831e+00,1.564818079814629558e-34
2.699806186678728626e+00,4.814824860968090488e-34
2.748893571891068976e+00,4.814824860968090488e-34
2.797980957103409327e+00,3.851859888774471706e-34
2.847068342315750122e+00,8.245387574407853496e-34
2.896155727528090473e+00,3.129636159629258689e-34
2.945243112740430824e+00,3.851859888774471706e-34
2.994330497952771619e+00,9.629649721936179265e-35
3.043417883165111970e+00,2.783570622747177247e-34
3.092505268377452765e+00,1.023150282955719047e-34
