k,PSD
0.000000000000000000e+00,2.529287684777299585e-33
4.908738521234051744e-02,1.046782752539035383e-01
9.817477042468103487e-02,6.378357931154114702e-02
1.472621556370215523e-01,1.776594334706501147e-02
1.963495408493620697e-01,2.117575874630703986e-02
2.454369260617025872e-01,1.465959686548679378e-02
2.945243112740431046e-01,1.315901106791172656e-02
3.436116964863836221e-01,1.044709311058597285e-03
3.926990816987241395e-01,1.539449068239547025e-02
4.417864669110646569e-01,4.819949488863765896e-03
4.908738521234051744e-01,1.805149294132605414e-02
5.399612373357456363e-01,3.751940595030674847e-04
5.890486225480862092e-01,4.876699370718867027e-04
6.381360077604267822e-01,2.484569877490044008e-03
6.872233929727672441e-01,5.938470084994072274e-04
7.363107781851077061e-01,1.252626429833964602e-03
7.853981633974482790e-01,1.325550597917312008e-03
8.344855486097888519e-01,3.462394226047675085e-03
8.835729338221293139e-01,6.588357425194584383e-04
9.326603190344697758e-01,9.359866351005128498e-04
9.817477042468103487e-01,1.021622482186285282e-03
1.030835089459150922e+00,4.659544714292530344e-05
1.079922474671491273e+00,7.211297922740654044e-04
1.129009859883831846e+00,4.023618135025116161e-04
1.178097245096172418e+00,4.417338539242394589e-04
1.227184630308512991e+00,1.911955755838369011e-04
1.276272015520853564e+00,4.445651354620323213e-05
1.325359400733193915e+00,4.670414668411855172e-05
1.374446785945534488e+00,4.858174853541719063e-05
1.423534171157875061e+00,4.815898890182219267e-04
1.472621556370215412e+00,3.453686331296515884e-05
1.521708941582555985e+00,3.812368663823092042e-05
1.570796326794896558e+00,2.177409199027099727e-07
1.619883712007237131e+00,1.925929944387236281e-34
1.668971097219577704e+00,2.166671187435640335e-34
1.718058482431918055e+00,2.903941244271379487e-34
1.767145867644258628e+00,3.851859888774471706e-34
1.816233252856599201e+00,4.814824860968090702e-35
1.865320638068939552e+00,2.411174012406676564e-34
1.914408023281280125e+00,2.445028249710357482e-35
1.963495408493620697e+00,3.761581922631320025e-35
2.012582793705961048e+00,6.018531076210113110e-35
2.061670178918301843e+00,3.009265538105056555e-35
2.110757564130642194e+00,2.745954803520863619e-34
2.159844949342982545e+00,2.534177741276720301e-33
2.208932334555323340e+00,3.761581922631320025e-35
2.258019719767663691e+00,5.510717516654884693e-34
2.307107104980004486e+00,3.912045199536571971e-34
2.356194490192344837e+00,1.147282486402552394e-34
2.405281875404685188e+00,5.416677968589100837e-35
2.454369260617025983e+00,1.745374012100932278e-34
2.503456645829366334e+00,1.203706215242022622e-34
2.552544031041707129e+00,2.557875707389298045e-34
2.601631416254047480e+00,1.523440678665684824e-34
2.650718801466387831e+00,4.814824860968090488e-34
2.699806186678728626e+00,1.203706215242022622e-34
2.748893571891068976e+00,1.925929944387236281e-34
2.797980957103409327e+00,6.018531076210113110e-35
2.847068342315750122e+00,1.571212769083102375e-33
2.896155727528090473e+00,4.814824860968090488e-34
2.945243112740430824e+00,0.000000000000000000e+00
2.994330497952771619e+00,6.018531076210112041e-34
3.043417883165111970e+00,8.666684749742561339e-34
3.092505268377452765e+00,1.925929944387236195e-33
