k,PSD
0.000000000000000000e+00,0.000000000000000000e+00
4.908738521234051744e-02,3.742474582259910226e-02
9.817477042468103487e-02,8.108219059992481312e-03
1.472621556370215523e-01,1.167477738487255889e-01
1.963495408493620697e-01,7.333891806697101501e-02
2.454369260617025872e-01,2.036927731215075477e-02
2.945243112740431046e-01,1.335677753718613782e-02
3.436116964863836221e-01,5.998272848812782020e-03
3.926990816987241395e-01,9.356095455093438665e-03
4.417864669110646569e-01,9.417781726530086162e-03
4.908738521234051744e-01,4.120401227666318188e-03
5.399612373357456363e-01,2.827074460785374325e-04
5.890486225480862092e-01,6.398598415841220532e-04
6.381360077604267822e-01,2.225370246209517895e-04
6.872233929727672441e-01,3.279249921973656089e-04
7.363107781851077061e-01,4.705480932374352804e-03
7.853981633974482790e-01,9.261325957793804494e-04
8.344855486097888519e-01,9.935867437761251864e-04
8.835729338221293139e-01,5.380543870037846456e-04
9.326603190344697758e-01,6.255508420954354013e-05
9.817477042468103487e-01,7.611879886599398062e-04
1.030835089459150922e+00,2.631266110092272915e-04
1.079922474671491273e+00,1.638104686698511566e-04
1.129009859883831846e+00,4.667094303044475576e-04
1.178097245096172418e+00,1.135580949403012568e-06
1.227184630308512991e+00,1.486704283638630420e-04
1.276272015520853564e+00,7.053497916117263365e-04
1.325359400733193915e+00,1.354854447442879279e-05
1.374446785945534488e+00,1.912673258847147403e-06
1.423534171157875061e+00,1.297994745160555670e-04
1.472621556370215412e+00,3.288243902416320943e-05
1.521708941582555985e+00,1.248876080708328408e-05
1.570796326794896558e+00,2.177409199027168549e-07
1.619883712007237131e+00,4.875010171730190753e-34
1.668971097219577704e+00,1.203706215242022622e-34
1.718058482431918055e+00,1.275928588156543924e-33
1.767145867644258628e+00,1.179632090937181960e-33
1.816233252856599201e+00,8.967611303553065230e-34
1.865320638068939552e+00,2.166671187435640335e-34
1.914408023281280125e+00,1.564818079814629558e-34
1.963495408493620697e+00,0.000000000000000000e+00
2.012582793705961048e+00,1.278937853694649236e-34
2.061670178918301843e+00,7.974553675978399523e-35
2.110757564130642194e+00,5.115751414778596945e-34
2.159844949342982545e+00,6.379642940782719619e-34
2.208932334555323340e+00,9.629649721936179265e-35
2.258019719767663691e+00,7.523163845262641387e-36
2.307107104980004486e+00,3.084497176557681566e-34
2.356194490192344837e+00,1.598672317118311225e-34
2.405281875404685188e+00,2.407412430484045244e-34
2.454369260617025983e+00,2.868206216006380985e-35
2.503456645829366334e+00,2.557875707389298045e-34
2.552544031041707129e+00,4.814824860968090702e-35
2.601631416254047480e+00,3.800138137338290628e-34
2.650718801466387831e+00,1.504632769052528010e-34
2.699806186678728626e+00,3.885714126078153586e-34
2.748893571891068976e+00,2.896653179296280877e-34
2.797980957103409327e+00,1.057004520259401141e-34
2.847068342315750122e+00,1.203706215242022622e-34
2.896155727528090473e+00,4.092601131822876188e-34
2.945243112740430824e+00,1.637040452729150475e-33
2.994330497952771619e+00,4.814824860968090488e-34
3.043417883165111970e+00,2.407412430484044816e-35
3.092505268377452765e+00,4.814824860968090488e-34
