k,PSD
0.000000000000000000e+00,2.166671187435640335e-34
4.908738521234051744e-02,1.097718263579048302e-02
9.817477042468103487e-02,1.214136611584610247e-02
1.472621556370215523e-01,4.874785435504183639e-02
1.963495408493620697e-01,6.832471052956549940e-02
2.454369260617025872e-01,5.154460167846818680e-02
2.945243112740431046e-01,8.840725159387670395e-03
3.436116964863836221e-01,9.459779879735131722e-03
3.926990816987241395e-01,2.147902377907420345e-03
4.417864669110646569e-01,6.944218718439702960e-03
4.908738521234051744e-01,4.096237995230840416e-03
5.399612373357456363e-01,4.242185391950533541e-03
5.890486225480862092e-01,4.664922028793893651e-03
6.381360077604267822e-01,6.658923220598284454e-05
6.872233929727672441e-01,6.535599575444541419e-03
7.363107781851077061e-01,4.614218583375846554e-03
7.853981633974482790e-01,3.974577869122020526e-04
8.344855486097888519e-01,5.872453686250216266e-05
8.835729338221293139e-01,2.017444108638436373e-04
9.326603190344697758e-01,1.634662665605854501e-04
9.817477042468103487e-01,8.420164141600527258e-05
1.030835089459150922e+00,7.431038884681550076e-04
1.079922474671491273e+00,4.390690156946613844e-04
1.129009859883831846e+00,1.064146131555497587e-03
1.178097245096172418e+00,1.590682394517023380e-04
1.227184630308512991e+00,4.371488454445855384e-04
1.276272015520853564e+00,1.027383519524735954e-05
1.325359400733193915e+00,4.172919457433429870e-04
1.374446785945534488e+00,3.652735371826101320e-04
1.423534171157875061e+00,8.264943158346248770e-06
1.472621556370215412e+00,9.262699763999816371e-05
1.521708941582555985e+00,1.283438046610516038e-05
1.570796326794896558e+00,2.177409199027204283e-07
1.619883712007237131e+00,1.474540113671477450e-34
1.668971097219577704e+00,5.115751414778595235e-34
1.718058482431918055e+00,1.358777430002498576e-33
1.767145867644258628e+00,4.092601131822876188e-34
1.816233252856599201e+00,4.092601131822876188e-34
1.865320638068939552e+00,1.734089266333038532e-34
1.914408023281280125e+00,7.011588703784779672e-34
1.963495408493620697e+00,2.145042091380509817e-34
2.012582793705961048e+00,1.278937853694648809e-34
2.061670178918301843e+00,1.734089266333038532e-34
2.110757564130642194e+00,6.018531076210113110e-35
2.159844949342982545e+00,3.912045199536573896e-35
2.208932334555323340e+00,2.471359323168776401e-34
2.258019719767663691e+00,2.723385311985076126e-34
2.307107104980004486e+00,6.357073449246930843e-35
2.356194490192344837e+00,1.880790961315660227e-34
2.405281875404685188e+00,6.755801133045850766e-34
2.454369260617025983e+00,3.761581922631320025e-35
2.503456645829366334e+00,3.084497176557681566e-34
2.552544031041707129e+00,1.203706215242022622e-34
2.601631416254047480e+00,7.824090399073146722e-35
2.650718801466387831e+00,9.780112998841429928e-35
2.699806186678728626e+00,9.629649721936179265e-35
2.748893571891068976e+00,4.551514126383897231e-35
2.797980957103409327e+00,1.504632769052528010e-34
2.847068342315750122e+00,1.820605650553558892e-34
2.896155727528090473e+00,9.629649721936179265e-35
2.945243112740430824e+00,4.092601131822876188e-34
2.994330497952771619e+00,1.975582825765968935e-33
3.043417883165111970e+00,1.251854463851703476e-33
3.092505268377452765e+00,4.092601131822876188e-34
