k,PSD
0.000000000000000000e+00,2.166671187435640335e-34
4.908738521234051744e-02,7.418206567833914022e-02
9.817477042468103487e-02,2.012000696353703419e-02
1.472621556370215523e-01,1.830242011453173416e-03
1.963495408493620697e-01,7.427710602995796219e-02
2.454369260617025872e-01,1.956184514670251604e-02
2.945243112740431046e-01,1.764749477195382693e-02
3.436116964863836221e-01,6.943508379503590157e-03
3.926990816987241395e-01,1.423249987676743732e-02
4.417864669110646569e-01,1.385693653404068606e-04
4.908738521234051744e-01,5.970462691545630604e-04
5.399612373357456363e-01,2.222272466381643771e-03
5.890486225480862092e-01,3.278729767356015727e-03
6.381360077604267822e-01,1.199739731265104040e-03
6.872233929727672441e-01,2.110468055347310828e-03
7.363107781851077061e-01,3.722076740795689492e-03
7.853981633974482790e-01,1.048444598053114782e-03
8.344855486097888519e-01,7.080101090354419633e-05
8.835729338221293139e-01,3.788117972172107056e-04
9.326603190344697758e-01,2.109912392976736359e-04
9.817477042468103487e-01,1.112801206045089695e-03
1.030835089459150922e+00,2.291493004658234217e-03
1.079922474671491273e+00,3.583480912281236663e-04
1.129009859883831846e+00,4.478208324368147157e-04
1.178097245096172418e+00,1.205714516421154845e-03
1.227184630308512991e+00,4.697284868250049361e-04
1.276272015520853564e+00,5.571092667325302367e-04
1.325359400733193915e+00,6.068601249945223961e-05
1.374446785945534488e+00,5.914037422940288721e-04
1.423534171157875061e+00,7.402873049805511576e-05
1.472621556370215412e+00,1.955537203727760820e-04
1.521708941582555985e+00,4.242674973909011667e-05
1.570796326794896558e+00,2.177409199027354631e-07
1.619883712007237131e+00,4.814824860968090488e-34
1.668971097219577704e+00,3.912045199536571971e-34
1.718058482431918055e+00,1.203706215242022675e-35
1.767145867644258628e+00,1.956022599768286681e-35
1.816233252856599201e+00,7.824090399073146722e-35
1.865320638068939552e+00,1.203706215242022622e-34
1.914408023281280125e+00,1.519679096743053290e-34
1.963495408493620697e+00,7.959507348287873174e-34
2.012582793705961048e+00,2.557875707389297617e-35
2.061670178918301843e+00,1.640049718267255745e-34
2.110757564130642194e+00,4.814824860968090702e-35
2.159844949342982545e+00,6.018531076210113110e-35
2.208932334555323340e+00,1.550712147604761681e-34
2.258019719767663691e+00,7.523163845262641120e-35
2.307107104980004486e+00,1.504632769052528010e-34
2.356194490192344837e+00,1.203706215242022675e-35
2.405281875404685188e+00,1.023150282955719047e-34
2.454369260617025983e+00,3.009265538105056555e-35
2.503456645829366334e+00,2.542829379698772337e-34
2.552544031041707129e+00,3.129636159629258689e-34
2.601631416254047480e+00,6.388106500108639233e-34
2.650718801466387831e+00,3.129636159629258689e-34
2.699806186678728626e+00,9.780112998841434739e-36
2.748893571891068976e+00,4.814824860968090488e-34
2.797980957103409327e+00,9.629649721936179265e-35
2.847068342315750122e+00,1.083335593717820338e-33
2.896155727528090473e+00,8.726870060504660749e-34
2.945243112740430824e+00,2.949080227342954900e-34
2.994330497952771619e+00,7.824090399073146722e-35
3.043417883165111970e+00,4.814824860968090488e-34
3.092505268377452765e+00,8.666684749742561339e-34
