k,PSD
0.000000000000000000e+00,1.843175142089346812e-35
4.908738521234051744e-02,4.991101604774982048e-02
9.817477042468103487e-02,3.538764710127658732e-03
1.472621556370215523e-01,1.064906437471433917e-02
1.963495408493620697e-01,8.512820497255163543e-02
2.454369260617025872e-01,1.433888344574992327e-02
2.945243112740431046e-01,5.088232976793365635e-03
3.436116964863836221e-01,2.042110938215086283e-02
3.926990816987241395e-01,1.682327710806404359e-03
4.417864669110646569e-01,1.986024347866397225e-04
4.908738521234051744e-01,9.067587754639011219e-03
5.399612373357456363e-01,7.708225959378407419e-03
5.890486225480862092e-01,8.259069860427676766e-04
6.381360077604267822e-01,1.443734842328974269e-03
6.872233929727672441e-01,8.501845234926112696e-04
7.363107781851077061e-01,2.291164324234852123e-03
7.853981633974482790e-01,7.400689837163638225e-05
8.344855486097888519e-01,2.312222692818377979e-04
8.835729338221293139e-01,1.245424665789033355e-05
9.326603190344697758e-01,3.967470662464652104e-04
9.817477042468103487e-01,7.085226924763523594e-04
1.030835089459150922e+00,3.447081685637002095e-04
1.079922474671491273e+00,4.156249725310880139e-04
1.129009859883831846e+00,2.911475889834521345e-04
1.178097245096172418e+00,4.828316890415809801e-04
1.227184630308512991e+00,2.801251232829704671e-04
1.276272015520853564e+00,4.112680312804431406e-04
1.325359400733193915e+00,4.359599009059345206e-04
1.374446785945534488e+00,5.397292004625526673e-04
1.423534171157875061e+00,4.506182125576223968e-04
1.472621556370215412e+00,2.605749686640548339e-05
1.521708941582555985e+00,4.756107187065349273e-05
1.570796326794896558e+00,2.177409199027301692e-07
1.619883712007237131e+00,1.925929944387236281e-34
1.668971097219577704e+00,1.899598870928816613e-35
1.718058482431918055e+00,8.185202263645750665e-34
1.767145867644258628e+00,4.814824860968090488e-34
1.816233252856599201e+00,9.208352546601469712e-34
1.865320638068939552e+00,7.824090399073146722e-35
1.914408023281280125e+00,2.407412430484044816e-35
1.963495408493620697e+00,3.761581922631320025e-35
2.012582793705961048e+00,7.372700568357387250e-35
2.061670178918301843e+00,1.688950283261462691e-34
2.110757564130642194e+00,2.362273447412468976e-34
2.159844949342982545e+00,1.760420339791457986e-34
2.208932334555323340e+00,7.372700568357387250e-35
2.258019719767663691e+00,3.912045199536571971e-34
2.307107104980004486e+00,6.958926556867943116e-35
2.356194490192344837e+00,1.839648659036879736e-34
2.405281875404685188e+00,5.416677968589100837e-35
2.454369260617025983e+00,6.018531076210113110e-35
2.503456645829366334e+00,1.628764972499361785e-34
2.552544031041707129e+00,6.018531076210113110e-35
2.601631416254047480e+00,2.166671187435640335e-34
2.650718801466387831e+00,1.098381921408345234e-34
2.699806186678728626e+00,5.510717516654884693e-34
2.748893571891068976e+00,9.629649721936179265e-35
2.797980957103409327e+00,9.629649721936179265e-35
2.847068342315750122e+00,1.023150282955719047e-34
2.896155727528090473e+00,4.814824860968090488e-34
2.945243112740430824e+00,7.703719777548945123e-34
2.994330497952771619e+00,1.925929944387236281e-34
3.043417883165111970e+00,2.448848606350530023e-34
3.092505268377452765e+00,1.925929944387236281e-34
