k,PSD
0.000000000000000000e+00,1.790889153364771464e-33
4.908738521234051744e-02,8.054399958482862804e-03
9.817477042468103487e-02,1.149518269150443146e-02
1.472621556370215523e-01,2.227733489960388030e-02
1.963495408493620697e-01,2.312438868763203037e-02
2.454369260617025872e-01,2.223176330325398430e-03
2.945243112740431046e-01,1.908943836895591120e-02
3.436116964863836221e-01,5.213449771111071385e-02
3.926990816987241395e-01,1.168209670327385354e-02
4.417864669110646569e-01,6.126956537816389756e-03
4.908738521234051744e-01,1.749003502274772397e-03
5.399612373357456363e-01,5.688268068513560507e-04
5.890486225480862092e-01,5.255823028406064572e-03
6.381360077604267822e-01,1.546974450390485275e-04
6.872233929727672441e-01,7.861129497700013050e-04
7.363107781851077061e-01,3.044728901324120825e-03
7.853981633974482790e-01,1.580304981508794853e-03
8.344855486097888519e-01,8.064007623945314892e-04
8.835729338221293139e-01,2.962966601525506634e-04
9.326603190344697758e-01,8.521772140716064392e-04
9.817477042468103487e-01,5.716565898242914352e-04
1.030835089459150922e+00,4.953937924262664287e-04
1.079922474671491273e+00,6.134748813926075824e-04
1.129009859883831846e+00,2.110533459886755354e-03
1.178097245096172418e+00,1.692239199594756526e-04
1.227184630308512991e+00,1.915569730834004042e-04
1.276272015520853564e+00,5.216466650089548714e-05
1.325359400733193915e+00,3.985564838320480315e-05
1.374446785945534488e+00,6.529385734202029648e-04
1.423534171157875061e+00,1.589250006107830176e-04
1.472621556370215412e+00,5.678137988464113632e-05
1.521708941582555985e+00,1.380298193211180615e-06
1.570796326794896558e+00,2.177409199027274428e-07
1.619883712007237131e+00,3.009265538105056448e-34
1.668971097219577704e+00,1.956022599768286681e-35
1.718058482431918055e+00,2.166671187435640335e-34
1.767145867644258628e+00,1.203706215242022622e-34
1.816233252856599201e+00,1.327838418688855969e-34
1.865320638068939552e+00,3.189821470391359809e-34
1.914408023281280125e+00,9.629649721936179265e-35
1.963495408493620697e+00,1.564818079814629558e-34
2.012582793705961048e+00,2.181717515126165187e-34
2.061670178918301843e+00,7.974553675978399523e-35
2.110757564130642194e+00,2.783570622747177247e-34
2.159844949342982545e+00,7.523163845262641120e-35
2.208932334555323340e+00,2.467597741246145937e-34
2.258019719767663691e+00,6.770847460736376901e-34
2.307107104980004486e+00,1.700235029029356865e-34
2.356194490192344837e+00,1.203706215242022675e-35
2.405281875404685188e+00,3.009265538105056555e-35
2.454369260617025983e+00,9.761892836403686610e-35
2.503456645829366334e+00,1.339123164456749715e-34
2.552544031041707129e+00,3.851859888774471706e-34
2.601631416254047480e+00,1.203706215242022622e-34
2.650718801466387831e+00,1.504632769052528010e-36
2.699806186678728626e+00,1.203706215242022622e-34
2.748893571891068976e+00,9.629649721936179265e-35
2.797980957103409327e+00,4.814824860968090488e-34
2.847068342315750122e+00,1.203706215242022622e-34
2.896155727528090473e+00,1.023150282955719047e-34
2.945243112740430824e+00,9.629649721936179265e-35
2.994330497952771619e+00,1.203706215242022622e-34
3.043417883165111970e+00,8.802101698957287149e-34
3.092505268377452765e+00,2.226856498197740600e-34
