k,PSD
0.000000000000000000e+00,3.761581922631320025e-35
4.908738521234051744e-02,6.689473752682643937e-02
9.817477042468103487e-02,3.713671777294310066e-03
1.472621556370215523e-01,1.501443293165139782e-02
1.963495408493620697e-01,4.148475692885829347e-02
2.454369260617025872e-01,4.707141436879670737e-02
2.945243112740431046e-01,1.323910558849691541e-02
3.436116964863836221e-01,2.105511810877823669e-03
3.926990816987241395e-01,1.994437113418010693e-02
4.417864669110646569e-01,3.404732844761186508e-03
4.908738521234051744e-01,1.346773471760616143e-03
5.399612373357456363e-01,1.140037228201387848e-04
5.890486225480862092e-01,2.594955448761232953e-03
6.381360077604267822e-01,6.335693446536666681e-04
6.872233929727672441e-01,5.114920310977558822e-04
7.363107781851077061e-01,1.869525949885414168e-03
7.853981633974482790e-01,7.559472552584618060e-03
8.344855486097888519e-01,1.893291805187296466e-03
8.835729338221293139e-01,9.473757791141261086e-06
9.326603190344697758e-01,4.909671365004337085e-04
9.817477042468103487e-01,9.741808719001889298e-04
1.030835089459150922e+00,1.088033554611169025e-03
1.079922474671491273e+00,3.055621440215443101e-04
1.129009859883831846e+00,2.167003894887396906e-04
1.178097245096172418e+00,1.180308528559540241e-03
1.227184630308512991e+00,1.314060230070743631e-04
1.276272015520853564e+00,8.593988250616049339e-05
1.325359400733193915e+00,4.105757039495266865e-05
1.374446785945534488e+00,3.131168644037651412e-06
1.423534171157875061e+00,7.636521021623594364e-05
1.472621556370215412e+00,5.957986071293186925e-05
1.521708941582555985e+00,3.721735218365837703e-06
1.570796326794896558e+00,2.177409199027142608e-07
1.619883712007237131e+00,2.407412430484044816e-35
1.668971097219577704e+00,7.523163845262641120e-35
1.718058482431918055e+00,2.181717515126165187e-34
1.767145867644258628e+00,1.745374012100932278e-34
1.816233252856599201e+00,1.066784633258242188e-33
1.865320638068939552e+00,4.814824860968090702e-35
1.914408023281280125e+00,2.125293786286695387e-34
1.963495408493620697e+00,5.755220341625918570e-35
2.012582793705961048e+00,2.708338984294550953e-35
2.061670178918301843e+00,1.564818079814629558e-34
2.110757564130642194e+00,3.189821470391359809e-34
2.159844949342982545e+00,2.166671187435640335e-34
2.208932334555323340e+00,5.416677968589100837e-35
2.258019719767663691e+00,1.880790961315660280e-35
2.307107104980004486e+00,5.416677968589100837e-35
2.356194490192344837e+00,4.333342374871281525e-34
2.405281875404685188e+00,1.087097175640451487e-34
2.454369260617025983e+00,3.470059323627392724e-35
2.503456645829366334e+00,8.764485879730976729e-35
2.552544031041707129e+00,1.809320904785664932e-34
2.601631416254047480e+00,3.385423730368188023e-35
2.650718801466387831e+00,2.046300565911437666e-34
2.699806186678728626e+00,3.009265538105056555e-35
2.748893571891068976e+00,3.385423730368188023e-34
2.797980957103409327e+00,1.700235029029356865e-34
2.847068342315750122e+00,1.504632769052528010e-34
2.896155727528090473e+00,4.092601131822876188e-34
2.945243112740430824e+00,4.092601131822876188e-34
2.994330497952771619e+00,1.504632769052528010e-34
3.043417883165111970e+00,1.203706215242022622e-34
3.092505268377452765e+00,4.814824860968090488e-34
