k,PSD
0.000000000000000000e+00,6.018531076210112041e-34
4.908738521234051744e-02,3.060511516476685512e-02
9.817477042468103487e-02,9.037556116236382039e-03
1.472621556370215523e-01,2.927975099195375894e-02
1.963495408493620697e-01,2.196167266413999453e-02
2.454369260617025872e-01,2.396506285673548689e-03
2.945243112740431046e-01,2.441562417199678522e-02
3.436116964863836221e-01,2.798867015635125161e-03
3.926990816987241395e-01,7.036542087855066768e-03
4.417864669110646569e-01,3.107121073874298620e-03
4.908738521234051744e-01,1.214774330951181279e-02
5.399612373357456363e-01,3.179496492543195437e-03
5.890486225480862092e-01,5.427330592032753075e-04
6.381360077604267822e-01,1.605832812061908782e-04
6.872233929727672441e-01,3.955682947962571258e-04
7.363107781851077061e-01,1.810145853327953637e-03
7.853981633974482790e-01,5.439862004299133268e-03
8.344855486097888519e-01,1.226409247501692237e-03
8.835729338221293139e-01,4.854271210440564235e-04
9.326603190344697758e-01,9.189518479917103706e-04
9.817477042468103487e-01,2.689300255785989874e-04
1.030835089459150922e+00,3.517570403875286216e-04
1.079922474671491273e+00,5.306863424793829007e-04
1.129009859883831846e+00,4.756102630452967075e-04
1.178097245096172418e+00,1.250664950064855473e-04
1.227184630308512991e+00,2.258927331295525610e-04
1.276272015520853564e+00,1.374395449457112739e-04
1.325359400733193915e+00,5.762256559892133412e-05
1.374446785945534488e+00,2.107212206932555852e-04
1.423534171157875061e+00,2.593610336323579654e-04
1.472621556370215412e+00,7.556103986062886666e-05
1.521708941582555985e+00,2.787606951732960855e-05
1.570796326794896558e+00,2.177409199027288722e-07
1.619883712007237131e+00,4.814824860968090488e-34
1.668971097219577704e+00,1.993638418994599881e-35
1.718058482431918055e+00,3.912045199536571971e-34
1.767145867644258628e+00,6.018531076210112041e-36
1.816233252856599201e+00,4.483805651776533470e-34
1.865320638068939552e+00,3.009265538105056555e-35
1.914408023281280125e+00,1.598672317118310583e-34
1.963495408493620697e+00,1.700235029029356865e-34
2.012582793705961048e+00,1.354169492147275209e-35
2.061670178918301843e+00,7.523163845262641120e-35
2.110757564130642194e+00,3.009265538105056555e-35
2.159844949342982545e+00,1.763429605329562828e-33
2.208932334555323340e+00,5.010427120944916563e-34
2.258019719767663691e+00,3.189821470391359809e-34
2.307107104980004486e+00,7.824090399073146722e-35
2.356194490192344837e+00,1.586505950587300549e-34
2.405281875404685188e+00,2.407412430484044816e-35
2.454369260617025983e+00,2.181717515126165187e-34
2.503456645829366334e+00,1.510289835615860055e-34
2.552544031041707129e+00,6.246576980269635817e-35
2.601631416254047480e+00,1.251854463851703476e-33
2.650718801466387831e+00,1.925929944387236281e-34
2.699806186678728626e+00,2.200525424739321787e-34
2.748893571891068976e+00,0.000000000000000000e+00
2.797980957103409327e+00,1.745374012100932278e-34
2.847068342315750122e+00,9.629649721936179265e-35
2.896155727528090473e+00,1.276175441970216433e-34
2.945243112740430824e+00,2.407412430484044816e-35
2.994330497952771619e+00,5.356492657826998861e-34
3.043417883165111970e+00,1.354169492147275209e-35
3.092505268377452765e+00,3.851859888774471706e-34
