k,PSD
0.000000000000000000e+00,2.166671187435640335e-34
3.067961575771282340e-03,1.786882292777936670e-02
6.135923151542564680e-03,2.388639267706676311e-02
9.203884727313847020e-03,5.640140896713864704e-04
1.227184630308512936e-02,6.293716640272928320e-02
1.533980787885641170e-02,2.055758682723640783e-04
1.840776945462769404e-02,6.447543825886667412e-02
2.147573103039897638e-02,7.291660895042058332e-02
2.454369260617025872e-02,2.145916349416796681e-02
2.761165418194154106e-02,1.278247008684004482e-01
3.067961575771282340e-02,2.340055099579808201e-02
3.374757733348410227e-02,2.235509129953803034e-02
3.681553890925538808e-02,2.114072496933596182e-02
3.988350048502667389e-02,5.582820333766153054e-02
4.295146206079795276e-02,3.005437624479708955e-03
4.601942363656923163e-02,6.302813912260862850e-02
4.908738521234051744e-02,1.955505977878137236e-02
5.215534678811180325e-02,1.499580007637160012e-02
5.522330836388308212e-02,6.966098818158596856e-03
5.829126993965436099e-02,2.465640380189806566e-02
6.135923151542564680e-02,1.545123822902238486e-01
6.442719309119693261e-02,1.320223369516455303e-01
6.749515466696820454e-02,1.534200616589006909e-02
7.056311624273949035e-02,8.901372462402718172e-04
7.363107781851077616e-02,7.446990626257044173e-03
7.669903939428206197e-02,1.021442789494930378e-02
7.976700097005334777e-02,5.481676311485841890e-02
8.283496254582461971e-02,8.325080656514880981e-03
8.590292412159590552e-02,2.134448772104149874e-03
8.897088569736719132e-02,1.684654129690371129e-03
9.203884727313846326e-02,1.113196930992529504e-01
9.510680884890974907e-02,3.627680495820546393e-03
9.817477042468103487e-02,1.050820825461352796e-02
1.012427320004523207e-01,3.223929882156847254e-02
1.043106935762236065e-01,6.760711697888174831e-02
1.073786551519948784e-01,7.494177751788892294e-04
1.104466167277661642e-01,3.817055914342467465e-02
1.135145783035374500e-01,2.685045736498663238e-02
1.165825398793087220e-01,2.767789696617387399e-02
1.196505014550800078e-01,2.129298789296561190e-01
1.227184630308512936e-01,2.601311239921608523e-02
1.257864246066225655e-01,3.653727503299100156e-03
1.288543861823938652e-01,1.272818587475235512e-02
1.319223477581651371e-01,2.995401483454171628e-03
1.349903093339364091e-01,5.777463067295796062e-02
1.380582709097077088e-01,6.884054522636817719e-02
1.411262324854789807e-01,6.537698703249859161e-03
1.441941940612502804e-01,1.356410794541760070e-02
1.472621556370215523e-01,3.253103069053087104e-02
1.503301172127928242e-01,1.573862448832439032e-01
1.533980787885641239e-01,5.132060552360796085e-02
1.564660403643353959e-01,7.738183758484576402e-02
1.595340019401066955e-01,2.375543277773149373e-02
1.626019635158779675e-01,1.189698564463136966e-02
1.656699250916492394e-01,3.005620139465133359e-02
1.687378866674205391e-01,4.579294147284140859e-03
1.718058482431918110e-01,8.019492666022626226e-02
1.748738098189630830e-01,1.254351639999217172e-01
1.779417713947343826e-01,1.677090724240305475e-01
1.810097329705056546e-01,6.806469238368956232e-02
1.840776945462769265e-01,1.035998973157942482e-01
1.871456561220482262e-01,1.773354261252734279e-02
1.902136176978194981e-01,1.291226796930146793e-03
1.932815792735907978e-01,5.379432208979655072e-02
1.963495408493620697e-01,1.842835924635755768e-02
1.994175024251333417e-01,3.874488247319998746e-02
2.024854640009046414e-01,6.498672662600160632e-02
2.055534255766759133e-01,1.818786566683010600e-02
2.086213871524472130e-01,1.389088277682513396e-02
2.116893487282184849e-01,8.286600133399057294e-03
2.147573103039897569e-01,3.063172905705424578e-03
2.178252718797610565e-01,1.274278272575434488e-02
2.208932334555323285e-01,5.089349412559062563e-02
2.239611950313036004e-01,1.481367008842730294e-02
2.270291566070749001e-01,8.071785667690012378e-03
2.300971181828461720e-01,1.534960085967869425e-01
2.331650797586174440e-01,4.979884654957737744e-03
2.362330413343887436e-01,2.973116709183162149e-02
2.393010029101600156e-01,2.380605171384658075e-02
2.423689644859313153e-01,1.199681592837401403e-02
2.454369260617025872e-01,4.064984553555708001e-03
2.485048876374738591e-01,2.826764577780745483e-02
2.515728492132451311e-01,2.257767983258169783e-02
2.546408107890164585e-01,8.730760819764724068e-02
2.577087723647877304e-01,4.392542906215276405e-02
2.607767339405590024e-01,1.683261076630042721e-02
2.638446955163302743e-01,6.488556099838428681e-02
2.669126570921015462e-01,4.565132961148319485e-02
2.699806186678728182e-01,4.974326931378751301e-03
2.730485802436441456e-01,5.488679779474683884e-02
2.761165418194154175e-01,1.473021745179217967e-01
2.791845033951866895e-01,5.932878581038495032e-03
2.822524649709579614e-01,1.070558839308902443e-01
2.853204265467292333e-01,9.309086580634083619e-02
2.883883881225005608e-01,3.929682139344643776e-02
2.914563496982718327e-01,3.773627576425843400e-02
2.945243112740431046e-01,1.996582882473250595e-02
2.975922728498143766e-01,2.221953355589223120e-02
3.006602344255856485e-01,1.615075803628876136e-02
3.037281960013569759e-01,5.048580915827635685e-02
3.067961575771282479e-01,5.837030995965492713e-02
3.098641191528995198e-01,4.426584098434061670e-02
3.129320807286707917e-01,1.869631931346842080e-01
3.160000423044420637e-01,6.238405527454980726e-02
3.190680038802133911e-01,9.476634920915005117e-03
3.221359654559846630e-01,1.608240369033566430e-01
3.252039270317559350e-01,3.888800564685931938e-02
3.282718886075272069e-01,7.694599666231891587e-03
3.313398501832984788e-01,3.988763342012541929e-02
3.344078117590697508e-01,5.071565095231348602e-02
3.374757733348410782e-01,2.585939946476463816e-02
3.405437349106123501e-01,1.605528172456313629e-01
3.436116964863836221e-01,5.435941116418149116e-03
3.466796580621548940e-01,4.738504290393111967e-02
3.497476196379261659e-01,1.722118454185388170e-02
3.528155812136974934e-01,1.578765908963308817e-02
3.558835427894687653e-01,1.544847639842695797e-01
3.589515043652400372e-01,4.823764421503799055e-02
3.620194659410113092e-01,5.556684174888874006e-01
3.650874275167825811e-01,1.521904855335614870e-01
3.681553890925538530e-01,1.128237915778733218e-02
3.712233506683251805e-01,3.344042092927432871e-03
3.742913122440964524e-01,5.373464459458392184e-02
3.773592738198677243e-01,4.899180270347214955e-02
3.804272353956389963e-01,6.570293578749704377e-02
3.834951969714102682e-01,2.966417214620993667e-04
3.865631585471815956e-01,1.048752010303773477e-02
3.896311201229528676e-01,2.794829786781478920e-03
3.926990816987241395e-01,1.236055781520173646e-01
3.957670432744954114e-01,1.550051236575280406e-02
3.988350048502666834e-01,7.431616364885173555e-03
4.019029664260380108e-01,6.234265190674889712e-02
4.049709280018092827e-01,3.830985985111277220e-02
4.080388895775805547e-01,1.718454519163503669e-01
4.111068511533518266e-01,6.216832543113082893e-02
4.141748127291230985e-01,1.965046018568616590e-02
4.172427743048944260e-01,3.820901387469825133e-02
4.203107358806656979e-01,1.008187834687760895e-02
4.233786974564369698e-01,5.654033809067551819e-02
4.264466590322082418e-01,3.379482056254629746e-02
4.295146206079795137e-01,1.101703760183128308e-02
4.325825821837507856e-01,8.301024579491241007e-02
4.356505437595221131e-01,1.023727677124158277e-02
4.387185053352933850e-01,6.586709910018730130e-02
4.417864669110646569e-01,1.388509832748561490e-01
4.448544284868359289e-01,4.687124408959946614e-02
4.479223900626072008e-01,1.318347549211846270e-01
4.509903516383785282e-01,1.621384811468736670e-02
4.540583132141498002e-01,1.471991785978655765e-01
4.571262747899210721e-01,1.590568082126710137e-02
4.601942363656923440e-01,3.819747656746688008e-02
4.632621979414636160e-01,1.077313889334733515e-01
4.663301595172348879e-01,3.540574871703958473e-03
4.693981210930062153e-01,2.615632086599495310e-02
4.724660826687774873e-01,4.608133428320714681e-02
4.755340442445487592e-01,9.881375627230670755e-02
4.786020058203200311e-01,1.411870598522392828e-01
4.816699673960913031e-01,4.621355335899129252e-02
4.847379289718626305e-01,6.195264294422329898e-02
4.878058905476339024e-01,2.653089080595776028e-02
4.908738521234051744e-01,1.533508055967948425e-02
4.939418136991764463e-01,2.404976386154725199e-02
4.970097752749477182e-01,1.917419447044913308e-02
5.000777368507189902e-01,2.387168685390584494e-02
5.031456984264902621e-01,5.882065511078060638e-02
5.062136600022615340e-01,1.098430423517885758e-02
5.092816215780329170e-01,2.953776359205428914e-02
5.123495831538041889e-01,1.401137920201925291e-02
5.154175447295754608e-01,2.683244884667412497e-02
5.184855063053467328e-01,6.078291961653935899e-02
5.215534678811180047e-01,3.240995076679605708e-02
5.246214294568892766e-01,8.550784924931016662e-02
5.276893910326605486e-01,3.830977937915641673e-02
5.307573526084318205e-01,4.294947593492368099e-02
5.338253141842030924e-01,2.724855436442447792e-02
5.368932757599743644e-01,1.281387169649349927e-02
5.399612373357456363e-01,1.362598853510072101e-02
5.430291989115170193e-01,3.247755060514066761e-02
5.460971604872882912e-01,8.663899454624270080e-02
5.491651220630595631e-01,2.675203917487835661e-02
5.522330836388308350e-01,2.024950674331029918e-02
5.553010452146021070e-01,9.553404158509883753e-03
5.583690067903733789e-01,1.525963393185710282e-01
5.614369683661446508e-01,3.791200656809592950e-02
5.645049299419159228e-01,3.130994456997444886e-02
5.675728915176871947e-01,1.850769484470326381e-02
5.706408530934584666e-01,1.433848095980244375e-01
5.737088146692298496e-01,8.197647393659869205e-03
5.767767762450011215e-01,3.468059291603409287e-03
5.798447378207723935e-01,6.022712483402841354e-04
5.829126993965436654e-01,9.213550625648580725e-03
