k,PSD
0.000000000000000000e+00,1.596264904687826966e-32
3.067961575771282340e-03,7.418802760662908391e-02
6.135923151542564680e-03,7.910742569157004633e-03
9.203884727313847020e-03,2.858313749610229965e-02
1.227184630308512936e-02,1.225606525680893177e-02
1.533980787885641170e-02,1.176039538708340514e-02
1.840776945462769404e-02,8.424001456593746551e-02
2.147573103039897638e-02,5.521847071815481900e-02
2.454369260617025872e-02,2.061042563958981333e-02
2.761165418194154106e-02,1.066981631999428387e-01
3.067961575771282340e-02,6.641391930488070583e-02
3.374757733348410227e-02,6.425838642567086034e-02
3.681553890925538808e-02,2.923025997260676398e-02
3.988350048502667389e-02,2.024470450779609215e-02
4.295146206079795276e-02,5.194697706495887690e-02
4.601942363656923163e-02,1.404013394811267669e-02
4.908738521234051744e-02,6.121157956269304701e-02
5.215534678811180325e-02,5.421835680730249102e-02
5.522330836388308212e-02,1.225213198792144895e-02
5.829126993965436099e-02,2.644625693597097565e-02
6.135923151542564680e-02,1.084971144288448958e-01
6.442719309119693261e-02,1.549403310543413792e-02
6.749515466696820454e-02,2.580765066192765647e-02
7.056311624273949035e-02,1.069664940359925792e-01
7.363107781851077616e-02,3.922602381678052391e-02
7.669903939428206197e-02,5.713666459755678897e-03
7.976700097005334777e-02,1.852755826152115148e-02
8.283496254582461971e-02,4.257992919001168074e-03
8.590292412159590552e-02,1.665973788285298740e-01
8.897088569736719132e-02,4.802915322159869577e-02
9.203884727313846326e-02,1.327913648070395969e-01
9.510680884890974907e-02,2.950705202361570897e-02
9.817477042468103487e-02,1.363327486228423265e-02
1.012427320004523207e-01,5.739844214075900258e-02
1.043106935762236065e-01,3.007365555066186455e-02
1.073786551519948784e-01,4.200750347460465578e-02
1.104466167277661642e-01,1.808517933578249193e-01
1.135145783035374500e-01,1.676078226092804838e-02
1.165825398793087220e-01,4.253044235785053556e-02
1.196505014550800078e-01,4.575078527344399876e-02
1.227184630308512936e-01,4.232223973597830369e-02
1.257864246066225655e-01,1.676497710615819023e-02
1.288543861823938652e-01,1.477311298375235706e-02
1.319223477581651371e-01,1.096779596446825246e-02
1.349903093339364091e-01,8.852197925710342599e-03
1.380582709097077088e-01,1.947859279727038040e-01
1.411262324854789807e-01,2.307906776688705905e-02
1.441941940612502804e-01,6.119930931368031124e-02
1.472621556370215523e-01,9.766559024107480946e-03
1.503301172127928242e-01,1.382044282876786472e-03
1.533980787885641239e-01,1.745998223376825018e-02
1.564660403643353959e-01,5.063225698063399810e-02
1.595340019401066955e-01,2.836563780235512588e-02
1.626019635158779675e-01,6.396113253082138725e-03
1.656699250916492394e-01,4.904809443989556483e-03
1.687378866674205391e-01,7.852959217433818848e-03
1.718058482431918110e-01,2.285119877910138375e-01
1.748738098189630830e-01,9.640294439855366659e-02
1.779417713947343826e-01,6.971659418271322628e-02
1.810097329705056546e-01,3.768156853159023573e-02
1.840776945462769265e-01,1.656432655324739101e-01
1.871456561220482262e-01,1.316691969649288335e-02
1.902136176978194981e-01,1.008914747436820240e-02
1.932815792735907978e-01,1.451749889436891247e-02
1.963495408493620697e-01,9.868932404363607070e-05
1.994175024251333417e-01,2.877997579855072832e-02
2.024854640009046414e-01,2.346636283107101859e-02
2.055534255766759133e-01,3.558866399241183021e-03
2.086213871524472130e-01,7.810255608733585042e-02
2.116893487282184849e-01,1.034735213013586973e-02
2.147573103039897569e-01,3.587600848431333339e-02
